I,II,III,IV,V,VI
"[False, np.float64(-1.3707935378428115), np.float64(17.449664429530202), np.float64(22.506461260225922), np.float64(0.39167648915086445), (-X0 + 4.8125/X0**6)/(X0 - 0.809)]","[False, np.float64(0.3861989602604917), np.float64(56.375838926174495), np.float64(19.51901224828377), np.float64(0.5534401033105271), X0**4/(0.070557*X0*(X0 - 0.564) + zoo) - X0**2*(X0 - 0.564)*(2*X0 - 1.373) + 0.956/X0 + 7.52755905511811/(X0*(0.744*X0 - 0.419616)*(2*X0 - 1.373))]","[False, np.float64(-1.2682866380678193), np.float64(17.449664429530202), np.float64(20.20142780558727), np.float64(0.40163333838557475), 5.079577959*(0.58173356602676*X0**2 + X0)**3/X0**18]","[False, np.float64(0.29063068240266177), np.float64(57.04697986577181), np.float64(17.66505659817983), np.float64(0.7164148604218226), X0*(X0*(1.191*X0*((-0.839630562552477*X0**3 + 0.839630562552477*X0 + 1)**0.333333333333333 - 0.943400450952466*((X0 + 0.513)**3)**1.0)**3 - (X0/(X0**1.0 - 0.513)**0.333333333333333)**0.333333333333333) - (-X0 - 0.091)**3/(X0 - 0.678)**3)]","[True, np.float64(0.3141825458729557), np.float64(55.70469798657718), np.float64(18.032599581292455), np.float64(0.8448100590546107), 0.67704*(-X0/(X0 - 0.996) - 1.94604062177387 + 0.460449416440924/(0.081*X0 - 0.068084712) + 0.443373493975904*(X0 - 0.996)/X0 + 51.1610462712138/X0)*exp(-X0) - exp((X0 + 0.364)*exp(X0)) + 51.1610462712138/X0]","[True, np.float64(0.7746749129121349), np.float64(99.32885906040268), np.float64(15.206878676549179), np.float64(0.7646115106328061), (-exp(X0) + log(log(X0)))*(exp(exp(X0)) - 0.460449416440924) + 1.27296567581289 - I*pi - 111.111111111111*log(X0)/X0 + 102.322092542428/X0]"
"[False, np.float64(-0.18029213051167803), np.float64(50.33557046979866), np.float64(19.083468162062594), np.float64(0.5242904436536262), -1.25971731448763*(-X0 - 0.615)/(0.76 - X0)**2 - 9.52380952380952*(11.0673336579751*X0 - 9.65624861658329)/X0**2]","[False, np.float64(0.5452379843760502), np.float64(99.32885906040268), np.float64(21.84027236083168), np.float64(0.8147554211643415), -133.498871934532*(0.994 - X0)*(-0.48*X0 - (X0 - 0.298)*(X0 + 0.858) - 0.62224)/(X0**2*(X0 - 0.415)*(X0 + 0.165))]","[False, np.float64(0.8776896185895645), np.float64(95.97315436241611), np.float64(12.236587818657151), np.float64(0.785465697616071), 8.10154898220374*(X0**0.333333333333333 + 0.991)**3*(1.25992104989487*X0**0.333333333333333 - 1.39173644753/X0**5)*((0.718526845923135*X0 - 1/X0**5)**0.333333333333333 - 0.892982246425813)**0.333333333333333]","[True, np.float64(0.7590710520700471), np.float64(99.32885906040268), np.float64(16.180087804243406), np.float64(0.7758845832199152), 3.04153483237148*(-(-(-((X0**2 - 0.981)**0.333333333333333/(X0 - 0.981))**0.333333333333333)**0.333333333333333/X0**3)**0.333333333333333/(X0 - 0.981))**0.333333333333333/(X0**2 - 0.696) - 0.596]","[False, np.float64(0.5598447399975217), np.float64(97.31543624161074), np.float64(15.676687046457825), np.float64(0.724293524457638), 5.18134715025907*log(log(X0 - 0.753))/log(log(log(0.946/(X0 - 0.753)))/(X0 - 0.753)) + 1.92899665526429*log(log(log(0.946/(X0 - 0.753)))/(X0 - 0.753))/((X0 - 0.753)*(X0 - 0.656))]","[False, np.float64(0.3879656911502928), np.float64(55.033557046979865), np.float64(16.180479473265873), np.float64(0.6271442671294797), 1.21751342920377*exp(-1.3248833476325*X0/((2*X0 - 0.58)*log(X0 - 0.831)))/(X0 - 0.58)**3.55461503866909 - 0.086*exp(exp(-X0**2 + exp(X0))) - 0.0163550762508919]"
"[True, np.float64(-0.3358224995445587), np.float64(99.32885906040268), np.float64(22.301906589098078), np.float64(0.9848622109870887), (X0/(0.884 - (X0 - 0.85)/(X0 - 0.995)) + 0.884 - 0.221/(X0 - 0.995))/(X0 - 0.85)]","[True, np.float64(-1.904845117945349), np.float64(46.97986577181208), np.float64(27.569907263566314), np.float64(0.30954443234274664), -X0 + 0.710044 + 1.708/(2*X0*(X0 - 0.710044) - X0 + 0.108164908) + 1.862/((X0 - 0.737)*(X0 - 0.710044))]","[True, np.float64(0.9008266910541507), np.float64(99.32885906040268), np.float64(10.049385453604343), np.float64(0.901429307964868), 1.95915237067858*(X0 + 0.992)**3*(-X0**9 + (1.05317053920257*(1/(-0.992 + X0**(-2)))**0.111111111111111 + 0.992)/X0**3)/X0**9]","[False, np.float64(-0.8839961842067772), np.float64(41.61073825503356), np.float64(22.65375706531729), np.float64(0.3836481318391087), (X0 + 0.575)/(X0 - 0.728 - (X0 - 0.728 + 0.213/X0)/X0) + 0.560296097258039*(X0 + 0.575)/((X0 - 0.600164880461665)**3*(X0 - 0.728 + 0.213/X0))]","[False, np.float64(0.848873819640613), np.float64(97.31543624161074), np.float64(13.236196397320766), np.float64(0.748661500746667), -34.4827586206897*X0 + 41.1618378117672/X0**10]","[False, np.float64(0.7765350340794165), np.float64(99.32885906040268), np.float64(21.84655866300874), np.float64(0.7975097516318176), log(X0*(0.93 - X0))*log((2.53450917761785*X0 + 2.53450917761785*log(X0))*exp(-1.546/log(X0)))/(X0*(0.93 - 2*X0))]"
"[False, np.float64(0.8538264663803077), np.float64(97.31543624161074), np.float64(12.583673735421568), np.float64(0.7947190489612922), (X0**7 - 99.2222222222222)*(X0*(X0**2 - 0.147) - 0.921/X0**2)/X0**5]","[True, np.float64(0.5765301029257002), np.float64(69.79865771812081), np.float64(14.401485598513265), np.float64(0.7380955989490943), (0.762129*X0**3 - 0.921/X0)*(X0 - 100.195222222222 - (0.738*X0**2 + X0 - 0.973)/(0.762129*X0**3 - 0.921/X0))/(0.738*X0**2 + X0 - 0.973)]","[False, np.float64(0.49755279191770985), np.float64(69.79865771812081), np.float64(15.522973037012214), np.float64(0.6902745866806913), -X0**27 - 8*X0**3 + 0.627 - 2.24719101123596*(0.293373215422131 + 0.50813731469098*I)/(X0*(X0 - 0.266)**9)]","[False, np.float64(-4.301530488836956), np.float64(17.449664429530202), np.float64(21.273177155782502), np.float64(0.3533974917529945), 1.01619406867846*(0.498663095223865 - 0.863709816787291*I)**3*(-X0 - 0.529)**3/(X0**3 - X0 + 0.495213172679769)**3]","[False, np.float64(0.8820778859393008), np.float64(99.32885906040268), np.float64(11.965884577547602), np.float64(0.8426746674933207), -726.75*log(X0) + log((exp(437.274368231047*X0*log(X0)**2) - 242.25*log(X0) + log(250.0*X0*log(X0))*log(log(X0)) + log(-242.25*log(X0)))*log(X0))]","[True, np.float64(0.8896883046834765), np.float64(99.32885906040268), np.float64(12.537585757025433), np.float64(0.7918133730067447), -677.086566271266*log(X0) + log(-242.25*X0*log(X0) - 242.25*log(X0))]"
"[False, np.float64(0.7937192434137097), np.float64(87.91946308724832), np.float64(14.86349426236135), np.float64(0.6686349971573812), -47.5116279069767*X0 + 0.043 + 11.4/(X0*(X0 - 0.799))]","[False, np.float64(0.6512342941051529), np.float64(70.46979865771812), np.float64(15.022865762870833), np.float64(0.7506954015460722), 35.7142857142857*X0*(1 - X0**2)/(0.524*X0 - 0.307064) - 9.81979710144928 + 12.1927971014493/(X0**2 - 0.586)]","[False, np.float64(0.6288117929741697), np.float64(70.46979865771812), np.float64(14.600441222377167), np.float64(0.7388277544167056), -14.7110154602844*X0**9 - 1.32275132275132*X0 + 32.5965796061353/X0**8 + X0**(-26)]","[False, np.float64(-5.25713501114595), np.float64(17.449664429530202), np.float64(22.883829178973176), np.float64(0.2918719742682198), -0.28872976767358/(X0**5.0*(0.778 - X0**0.333333333333333)**3)]","[False, np.float64(0.8210208589179577), np.float64(99.32885906040268), np.float64(15.454816906711267), np.float64(0.8595487475975713), X0*(-0.556869562267398 + I*pi) + (-exp(exp(X0)/X0) + log(0.319*X0*log(X0 - 0.884)*log(log(X0 - 0.884)) + X0))*log(X0 - 0.884)*log(log(X0 - 0.884)) - 0.413127093878218*exp(X0) - exp(exp(X0)) + (-0.556869562267398 + I*pi)/log(X0)]","[False, np.float64(0.8783575451438852), np.float64(99.32885906040268), np.float64(15.077670066880675), np.float64(0.8135732292739897), exp(2*exp(X0))*log(2*X0*(X0 + 0.072)*log(X0 + 0.072))/(X0*(X0**2/log(X0) + log(2.06473109996649*exp(exp(X0) - log(X0)*log(X0 + 0.072))*log(log(X0)*log(X0 + 0.144))*log(X0 + 0.072)*log(exp(X0)))))]"
"[False, np.float64(0.8487398002249877), np.float64(95.97315436241611), np.float64(12.671375741100308), np.float64(0.771535911568413), -44.3653846153846 + (X0 + 51.8899204244032/X0**6)/X0**3]","[False, np.float64(0.6522578288473431), np.float64(69.12751677852349), np.float64(14.854887825782194), np.float64(0.7358102863739907), -37.3134328358209*X0**2 - 37.3134328358209*X0 - 8.99614925373134 + 0.786/(X0 - 0.675) - 39.3*(-0.509*X0 - 0.359)/(X0*(X0 - 0.675))]","[False, np.float64(0.269647096327591), np.float64(56.375838926174495), np.float64(15.657731549704181), np.float64(0.7314444654784884), -1.94065153397463*X0**20*(0.467995081157058 - 0.810591258256344*I)*(-0.851*X0**5 - 0.686128968)*(1/X0)**0.666666666666667 - 7.4745990912966*(-X0 - 0.43873)**3/X0**15]","[False, np.float64(-0.612908387505442), np.float64(54.36241610738255), np.float64(14.740419315090184), np.float64(0.7350201552819094), 8*(X0**0.333333333333333/2 + X0*(-1.62074554294976*X0**4/(-0.249 + 0.952/X0) + 0.489097324650875 + 2.258735647/X0) - 0.112448536131885 - 0.19476657781717*I)**3]","[True, np.float64(0.5883639670725747), np.float64(99.32885906040268), np.float64(13.970887418151959), np.float64(0.8333364852438151), -14.8932273477929*exp(-1.05708245243129*I*pi)/(X0**2.11416490486258*(-X0*(log(-0.326*X0) + 2*log(X0)))**1.05708245243129) + exp(3.27016098713896/(X0**2.11416490486258*(-X0)**1.05708245243129)) - (-0.705219761794215 + I*pi)*log(-0.326*X0)/log(X0)]","[True, np.float64(0.7866268942444845), np.float64(87.24832214765101), np.float64(14.373955741207777), np.float64(0.7575143110205582), 18.5566627697675*(zoo*(X0 - 0.067 - 0.998/X0)*log(X0 - 0.067 - 0.998/X0) + zoo)*(X0 - 0.067 - 0.998/X0)]"
"[False, np.float64(0.7627406396243844), np.float64(87.91946308724832), np.float64(13.263667014252112), np.float64(0.7547259180852453), 6.38635 - 11.0416451612903/(0.792 - X0) + 0.579*(0.599 - X0**2)*(X0 - 0.168)*(951.485207100592/(X0 + 0.949)**2)/X0]","[False, np.float64(-48.161074612597524), np.float64(17.449664429530202), np.float64(27.6030756065469), np.float64(0.1412679568796678), 7.85386259541985/(X0*(X0 - 0.775))]","[False, np.float64(0.829702227495178), np.float64(96.64429530201342), np.float64(12.835006157766268), np.float64(0.7038075454621355), -27*X0**3 + 1.46242052846727*(0.452659152628377 + 0.784028650863424*I)**3/(0.681044267877412 - X0)**3]","[False, np.float64(0.873389370509064), np.float64(99.32885906040268), np.float64(12.08977679119872), np.float64(0.6928382486105189), 64*X0**3/(X0**27 + X0**3)**3 - (X0**3 + X0)**3]","[True, np.float64(0.7955680287281173), np.float64(95.97315436241611), np.float64(21.663898575282452), np.float64(0.48903936010510385), -9.70070322419931*exp(X0) + exp(X0)/(-0.553385238184787 + I*pi) - log(-3.14465408805031*X0) - exp(-0.603*X0) - (3.45182344489077 - I*pi + 0.052/X0)/(-0.61803970807314 + 0.525/X0) - 0.284/X0]","[False, np.float64(0.426568365791667), np.float64(56.375838926174495), np.float64(20.43977544594354), np.float64(0.4795365366646187), exp((-1.29032258064516*X0 - 0.0180645161290323)/(0.6 - X0)) + exp((-1.18764845605701*X0 - 0.0166270783847981)/(0.6 - X0)) - 2*exp(exp(X0))]"
"[False, np.float64(-12.572706527370775), np.float64(17.449664429530202), np.float64(23.20077053999755), np.float64(0.2526080972173394), 6.16608079294646/(X0**2*(X0 - 0.809))]","[False, np.float64(-176.56153119980766), np.float64(17.449664429530202), np.float64(35.92537357036573), np.float64(0.048361559486989995), (4*X0 + 0.189)/(X0 - 0.809)]","[False, np.float64(-0.42843850367721314), np.float64(17.449664429530202), np.float64(19.135068800707206), np.float64(0.40398440681004616), 2.67918381344307*(X0**4 + 0.72*X0**2)**3/X0**27]","[False, np.float64(-2.911931294746332), np.float64(17.449664429530202), np.float64(22.070383153253395), np.float64(0.31245105131584466), 51.0439907012633/(X0**6*(X0 + 0.148)**6)]","[True, np.float64(0.7972611216612607), np.float64(99.32885906040268), np.float64(12.528549862481668), np.float64(1.0802133824921025), -77.9230769230769*X0 - 0.460449416440924/log(X0) - 111.111111111111*(-0.775552274182436 + I*pi)/X0**5]","[False, np.float64(0.34226094630965453), np.float64(55.70469798657718), np.float64(15.376467718253334), np.float64(0.6663610593090997), -38.4615384615385*X0**4 - exp(exp(X0)) + 0.460449416440924/(0.009*X0 + 0.001251 - 0.004329/X0**2)]"
"[True, np.float64(-13.5892668910898), np.float64(17.449664429530202), np.float64(24.671853449717684), np.float64(0.20143474437615183), 3.84664197530864/(X0 - 0.848172)]","[False, np.float64(0.699755554319003), np.float64(73.15436241610739), np.float64(12.814388516248487), np.float64(0.7286253722149292), 19.3573364305072*(7.02040816326531*X0**2 - 7.64344897959184)/(X0**3*(0.328 - X0))]","[False, np.float64(-6.5128697981302786), np.float64(17.449664429530202), np.float64(21.81996723951262), np.float64(0.2965459229096196), 1.12081573226215/(X0 - 0.66)**3]","[False, np.float64(-8.64049287203058), np.float64(17.449664429530202), np.float64(23.239228800535447), np.float64(0.31516401986871706), (0.905318305256754 + X0**(-2))**3/(X0 - 0.42)**3]","[False, np.float64(0.6607892673230251), np.float64(69.12751677852349), np.float64(13.124917847837015), np.float64(0.7519572108961271), 8.4666846812274*(-log(-X0**2 - X0 + 0.708) + log(log(0.808 - X0)))*exp(exp(2.24341666352338*exp(-X0)))]","[False, np.float64(-7.769776309402923), np.float64(17.449664429530202), np.float64(23.62069201797165), np.float64(0.33595572752216113), exp((1.89458534635009 - 3*log(X0))*(1.89458534635009 - log(X0)))/X0]"
"[True, np.float64(0.6462099563972712), np.float64(99.32885906040268), np.float64(11.9718819424432), np.float64(1.071473394974563), -71.0952464438513*X0*(X0**2 - 1/X0**2) + 2.51889168765743*X0/(X0 - 0.85) - 0.85/(X0 - 0.995)]","[False, np.float64(0.2565247481706423), np.float64(55.033557046979865), np.float64(17.02037624537814), np.float64(0.5583342655711724), 16.280811435642*X0**2*(2*X0 + 0.222)*(X0**2 - 1.139)/(0.778 - X0)]","[False, np.float64(0.8736068198201441), np.float64(99.32885906040268), np.float64(9.430493647118015), np.float64(0.8347486430680895), -X0 - ((0.102564102564103 - 6.41025641025641*X0)*(-X0**3 + X0))**0.111111111111111/(X0 - 0.678)**3 + 0.016]","[False, np.float64(0.5349381177849584), np.float64(59.73154362416108), np.float64(14.374760174834023), np.float64(0.6371689759579562), -8.26446280991736*(-X0 - 0.529)**3/X0**11.6666666666667 - 10.3551059188479*X0**9/(X0**(-2))**0.333333333333333 - 0.089]","[True, np.float64(0.22624720846917679), np.float64(99.32885906040268), np.float64(13.156131454672414), np.float64(0.8642500761788465), -(log(X0) - 0.542)*exp((-log(X0) + 0.238 + 1.37163025562604/(X0 + 0.271))/(0.363832849149905*X0**2 + 0.0240129680438938)) + (-1.09362474715707 + I*pi)/log(X0)]","[False, np.float64(0.8851597890261439), np.float64(99.32885906040268), np.float64(11.442899168644729), np.float64(0.9662545291311431), 144.780824995888*log(X0)*log(log(X0))*log(log(log(X0)))*log(log(log(exp(-0.825157024793388/X0)))) - log(4.9e-5*X0**2)]"
"[False, np.float64(0.8250045949494561), np.float64(96.64429530201342), np.float64(11.641537898445106), np.float64(0.847689500690603), (X0 - 99.2222222222222)*(X0**2 - 1.034)/((X0 - 0.677)*(2*X0 - 0.734))]","[False, np.float64(0.7734489694904337), np.float64(87.91946308724832), np.float64(13.007314490310137), np.float64(0.7523677208872566), (-(X0 - 0.965)*(31.4711358700831*X0 + 99.2222222222222) + 8.53982300884956)/(X0 - 0.693)]","[True, np.float64(0.8005472931653943), np.float64(99.32885906040268), np.float64(10.598803385109065), np.float64(0.7821467441500769), (-X0 - 0.213)/((X0 - 1)**0.111111111111111*(X0 - 0.266)**9)]","[False, np.float64(-10.437017430050094), np.float64(53.02013422818792), np.float64(16.841874881202727), np.float64(0.9502184909868533), (2*X0/(X0 - 0.166375)**3 - (X0 - 0.096)**9*(X0**9 + X0 - 0.096))**3]","[False, np.float64(0.5176640190462802), np.float64(61.07382550335571), np.float64(15.301385926260346), np.float64(0.8136795825373736), exp(exp(X0)) - 505.208012684343*log(X0) + zoo]","[False, np.float64(0.6660348637600841), np.float64(66.44295302013423), np.float64(14.193550714902843), np.float64(0.6975593664248855), X0*(exp(exp(X0)) - 134.89053938672*log(X0)) - 484.5*log(X0)]"
"[False, np.float64(-7.082848461400998), np.float64(17.449664429530202), np.float64(22.00256273291663), np.float64(0.28536316755393354), 1.633/((X0 - 0.799)*(X0 - 0.707))]","[False, np.float64(-105.82966158383314), np.float64(17.449664429530202), np.float64(28.432634611381147), np.float64(0.1023594767521624), 0.358*(21.9077582601559*X0 - 0.165)/(X0*(X0 - 0.787))]","[False, np.float64(-0.012403667010349118), np.float64(20.80536912751678), np.float64(16.648755163860855), np.float64(0.5415582563906254), 151.814496579243*(-X0**0.333333333333333 - 0.128787625)**3*(0.564621617328617*X0**5 + (-X0)**0.333333333333333)**3/X0**6]","[False, np.float64(0.31305923178821615), np.float64(54.36241610738255), np.float64(15.172951826962777), np.float64(0.5999710476552533), 8*(X0*(-2.52163630648878*X0**4 + 0.642735647 + 2/X0**2) + X0/2 + 0.4795)**3]","[False, np.float64(-3.2195285436566605), np.float64(17.449664429530202), np.float64(20.39847999017002), np.float64(0.37335772822423685), exp(exp((0.936 - X0)*exp(X0) + exp(0.85*exp(-X0))))]","[False, np.float64(-0.004518236861509761), np.float64(53.02013422818792), np.float64(16.255256859566433), np.float64(0.5170530840061651), 2065.29402353959*(-2*X0**2 + (0.936 - X0)*exp(X0) + 2.80617886464739)*exp(-4.20168067226891*X0**2)]"
"[False, np.float64(0.7893415544202013), np.float64(87.24832214765101), np.float64(11.990796371609946), np.float64(0.7385354793031987), -24.390243902439*X0 - 35.2*(X0**2 - 0.976 - 0.384/X0)/(X0**2*(X0 - 0.675))]","[False, np.float64(0.5563550169525644), np.float64(60.40268456375839), np.float64(13.932965206759365), np.float64(0.7368979898748397), -26.8911178637696*X0**2*(2*X0 + 0.217) - 0.53055/((-0.01*X0 - 0.01)*(X0 - 0.688))]","[False, np.float64(-0.10404702820811051), np.float64(18.79194630872483), np.float64(16.85538253740458), np.float64(0.5092728242289418), 8*(X0 + 0.126)**3*(X0**(-2.0) - X0**3 + X0 - 0.337)**3/(X0 - 0.42)**3]","[False, np.float64(0.6413973623615259), np.float64(81.87919463087249), np.float64(17.51832301410966), np.float64(0.6098539666008983), X0**0.333333333333333*((-X0 - 0.401947272)**9 - (-X0 - 0.04)**3/(X0 - 0.678)**3)]","[False, np.float64(-8.58410713291538), np.float64(17.449664429530202), np.float64(23.738784134987615), np.float64(0.22359723416265537), exp(1.12233445566779*X0*(X0 + 0.891)/(exp(X0) - 2.04022082852655))]","[False, np.float64(0.822217601701352), np.float64(97.98657718120805), np.float64(11.153810667193499), np.float64(0.7681048007135142), 86.8055555555556*X0**2*((log(X0) + log(X0**2))*(-X0 - 2.84731226843572 + I*pi) + 1.782)*(-X0 - 2.84731226843572 + I*pi)*log(X0) + exp(X0)]"
"[True, np.float64(0.850428504502206), np.float64(99.32885906040268), np.float64(11.768040920761974), np.float64(0.9111591391886764), X0**2/(1 - X0**2) + X0*(-30.8461538461538*X0**2 - 30.8461538461538*X0 + 24.8928461538462) - 10.0806451612903/(0.807 - X0)]","[True, np.float64(-19.545698740947042), np.float64(17.449664429530202), np.float64(23.977639989376847), np.float64(0.2040006945414256), 0.116/(X0 - 0.879) + 7.12/(X0**2*(X0 - 0.775))]","[False, np.float64(0.5100545588297274), np.float64(59.73154362416108), np.float64(13.711865281286574), np.float64(0.6367474115403037), -(X0**6 + X0)**3 - 1.67518866410284/(X0**3*(0.6 - X0)**3)]","[True, np.float64(0.7516810161619729), np.float64(97.31543624161074), np.float64(12.23514816302565), np.float64(0.8476894176603981), -12.5786163522013*X0**6 + 20.6611570247934*(0.11 - 0.190525588832577*I)*(2*X0 + ((0.378849242583755 + 0.65618613656405*I)/(X0 - 0.981))**0.333333333333333)/(-X0**6 + X0**2 + 0.251325077496456 + 0.435309894491671*I) + 0.775286054653182]","[False, np.float64(-0.3651932003251861), np.float64(17.449664429530202), np.float64(17.71484807409405), np.float64(0.4211537297368054), exp(log(log(X0*(0.604 - X0))/(0.6 - X0))/(0.6 - 0.295*X0))]","[False, np.float64(0.6813930160812783), np.float64(80.53691275167785), np.float64(16.285289244125508), np.float64(0.6547517838071445), -exp(exp(X0)) + exp(exp(1.072/(X0 - 0.15))) - exp(exp(X0 + (X0 - 0.631)*exp(-X0))) + exp(-1.18764845605701*X0/(0.6 - X0)) - 1.072/(X0 - 0.15)]"
"[True, np.float64(-5.234193596223169), np.float64(17.449664429530202), np.float64(31.337038593307735), np.float64(0.18867474670052622), (-X0 - 0.625)/(0.875 - X0)]","[False, np.float64(0.6392592439342516), np.float64(65.77181208053692), np.float64(12.873752443979699), np.float64(0.7203502668916212), (X0 - 0.775)/(0.00756899999999999*X0 - 0.015747) + 1.43516292687127*(0.362 - 0.087*X0)/(X0*(0.829 - X0)) + 10.9885057471264/(X0**2*(X0 - 0.775))]","[False, np.float64(-0.06599241442224124), np.float64(17.449664429530202), np.float64(20.399384700075462), np.float64(0.376771400069612), (X0**2 + X0)**3/X0**27]","[False, np.float64(0.7607808143902284), np.float64(97.98657718120805), np.float64(12.480452788535496), np.float64(0.7071156828537448), 0.618237222078419*(((X0**0.333333333333333 - 2*X0)**3 + 8.0*(X0**0.333333333333333/512 + X0/256 + (0.4259465 - X0)**9 + 0.0014140625)**0.333333333333333)/X0**0.333333333333333 + X0 + 0.724)**3/(X0 - 0.42)**3]","[True, np.float64(0.7715224759652108), np.float64(99.32885906040268), np.float64(12.046573962825274), np.float64(0.7744714246680796), -0.2548*(-log(log(0.111/log(X0))/log(X0)) + 1/(X0 - 0.868))/log(X0)]","[False, np.float64(0.41920730273770235), np.float64(57.04697986577181), np.float64(15.370457921411123), np.float64(0.7128507109391311), -267.737617135208*log(X0) - 20.5850208002394 - 111.111111111111*(log(X0) - 0.415)/X0**2]"
"[True, np.float64(-18.182989492808776), np.float64(17.449664429530202), np.float64(25.33657377028011), np.float64(0.1888915735843227), (2*X0 + 2.128516)/(X0 - 0.848172)]","[False, np.float64(0.5132754935186177), np.float64(59.73154362416108), np.float64(13.851373705583773), np.float64(0.7053747949286304), 19.3573364305072*(7.02040816326531*X0**2 - 7.83440816326531)/(X0**2*(0.326 - X0))]","[False, np.float64(-3.078317152008518), np.float64(17.449664429530202), np.float64(19.309219499819672), np.float64(0.3685851396412823), 1/(X0**2*(X0 - 0.66)**3)]","[True, 0, 0, 0, 0, 0]","[True, np.float64(0.8990455635696534), np.float64(99.32885906040268), np.float64(9.87719931839079), np.float64(0.7788643909489963), -31.3030303030303*X0 + exp(1.89458534635009/(X0 - 0.488)) - log(exp(1.89458534635009/log(X0))) + 1.33193669255554 - I*pi]","[False, np.float64(-2.2685036446250098), np.float64(19.463087248322147), np.float64(20.768194766990675), np.float64(0.38561929508705106), -(-14.2344619390318*exp(0.469071532895939/X0) + log(log(X0**2 + 0.189950583958446 - I*pi)))*exp(-X0)/log(X0 + 0.231) - exp(exp(X0)) - 0.757]"
"[True, np.float64(-0.260640770524335), np.float64(99.32885906040268), np.float64(15.132030952297008), np.float64(0.8237113340409057), -0.727*X0 - 1.21571906354515/(X0 - 0.995) + 2.51889168765743/(X0**2*(X0 - 0.85))]","[False, np.float64(0.6410793860489404), np.float64(65.77181208053692), np.float64(14.03249509856137), np.float64(0.7229870813866301), (81.4366318309421*X0*(X0**2 - 1.139) + 3*X0 + 0.353)/(0.699*X0 + (0.358 - 3*X0)*(0.674*X0 - 0.412) - 0.412)]","[False, np.float64(0.7696587657918443), np.float64(83.89261744966443), np.float64(12.603332893643524), np.float64(0.7177226505546601), -27*X0**3 - 1.37931034482759*X0 + 1.37931034482759*X0/(X0 - 0.678)**3]","[False, np.float64(-3.3593176109239886), np.float64(17.449664429530202), np.float64(22.569458938862056), np.float64(0.35147394934732773), 166.933648500454*(-0.26352*X0**0.333333333333333 - 0.0803736 - (0.359920249824098 + 0.623400159368221*I)/X0)**3/(X0 - 0.310509803921569)**3]","[False, np.float64(0.7262652042973462), np.float64(99.32885906040268), np.float64(10.085024521294521), np.float64(0.9775720165964455), exp((-log(X0) + 1.06822671716599 + 0.238/X0)/(0.363832849149905*X0**2 + 0.0240129680438938)) - 1.01106072244472 + 2.74851488076598/(log(X0) - 0.238/X0) - 0.755555555555556/(X0*log(X0))]","[True, np.float64(0.8620182620177129), np.float64(98.65771812080537), np.float64(12.695649170469391), np.float64(0.7894595456876763), 125.141785643134*exp(X0)*log(X0)*log(log(0.898 - X0))*log(0.465/log(log(X0))) - log(log(X0))]"
"[False, np.float64(0.720181089684458), np.float64(87.91946308724832), np.float64(11.607973892235579), np.float64(0.7758676714005343), (X0 - 99.2222222222222)*(X0 - 0.921/(X0**2*(X0 - 0.192)))/X0**3]","[False, np.float64(0.5458783213161962), np.float64(65.77181208053692), np.float64(12.913618214320593), np.float64(0.7312896133056592), (X0 - 99.2222222222222)*(X0**2 - 1.210027100271/X0**2)/X0**3]","[True, np.float64(0.8308928258093516), np.float64(99.32885906040268), np.float64(9.748921912761006), np.float64(1.04101603339381), -X0**27 + 0.790699836167038*(0.577350269189626 + I)**0.333333333333333/((X0 - 0.266)**9*(X0**3 - X0)**0.333333333333333)]","[False, np.float64(0.6247338679060854), np.float64(63.08724832214765), np.float64(13.68171689854718), np.float64(0.703671338589989), -76708587571.2111*(X0**(-2.66666666666667) + (0.481744 - X0)*(X0**27)**0.333333333333333)*(X0**0.333333333333333 + 0.000275705082404029)**3*(-X0**2 + 0.384286642170832 + 0.665603988909922*I)**3/(X0**9*(X0 + 0.342/X0**2))]","[False, np.float64(0.5292309510822144), np.float64(63.08724832214765), np.float64(15.074418317201738), np.float64(0.8553531420834445), 26.769518259161 - 484.5*log(X0)]","[False, np.float64(0.8321970578915665), np.float64(96.64429530201342), np.float64(14.150749589493385), np.float64(0.826059875986069), 22.7272727272727*X0 + log(X0**(-60562.5)) + log(X0**(-484.5)) - 242.25*log(X0)]"
