refcode	metal	m_ox	totcharge	CN	N	geometry	min	coord_sphere	formula_ligs_list	TMC_formula	d_elec	elem_nr	groups	len_groups	name
KIPLIH	Cr	0	0	5	264	Square pyramidal	2.76	('C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'H25-C20-N-O4']	H25-C24-N-O8-Cr	5	24	['KIPLIH']	1	Cr_0_5_Square pyramidal_['C', 'C', 'C', 'C', 'C']
AYIZIS	Cr	0	0	6	326	Octahedral	1.36	('As', 'As', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'H24-C26-As2']	H24-C30-O4-Cr-As2	5	24	['AYIZIS']	1	Cr_0_6_Octahedral_['As', 'As', 'C', 'C', 'C', 'C']
MISLAB	Cr	0	0	6	306	Octahedral	1.79	('As', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H34-C15-N2-Al-Si2-As']	H34-C20-N2-O5-Al-Si2-Cr-As	5	24	['MISLAB']	1	Cr_0_6_Octahedral_['As', 'C', 'C', 'C', 'C', 'C']
IDUMIE	Cr	0	0	6	150	Octahedral	0.09	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H10-C5-S']	H10-C10-O5-S-Cr	5	24	['IDUMIE']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
KARWEF	Cr	0	0	6	162	Octahedral	0.06	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H10-C7-O2']	H10-C12-O7-Cr	5	24	['KARWEF']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
EJAMUX	Cr	0	0	6	190	Octahedral	0.39	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H12-C10-O3']	H12-C15-O8-Cr	5	24	['EJAMUX']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
XALFIZ	Cr	0	0	6	192	Octahedral	0.13	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H12-C13-O']	H12-C18-O6-Cr	5	24	['XALFIZ', 'ZOCCAV']	2	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
RUJLOZ	Cr	0	0	6	210	Octahedral	0.28	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H12-C16-O']	H12-C21-O6-Cr	5	24	['RUJLOZ']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
JOKGEV	Cr	0	0	6	178	Octahedral	0.24	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H13-C8-N-O2']	H13-C13-N-O7-Cr	5	24	['JOKGEV']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
MEAMCR10	Cr	0	0	6	196	Octahedral	0.49	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H14-C11-N2-O']	H14-C16-N2-O6-Cr	5	24	['MEAMCR10']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
SIMQOU	Cr	0	0	6	186	Octahedral	0.09	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H14-C9-O3']	H14-C14-O8-Cr	5	24	['SIMQOU']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
JELGAJ	Cr	0	0	6	220	Octahedral	0.22	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H15-C16-N-O']	H15-C21-N-O6-Cr	5	24	['JELGAJ']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
QEHQID	Cr	0	0	6	186	Octahedral	0.10	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H15-C9-N-O2']	H15-C14-N-O7-Cr	5	24	['QEHQID']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
QESZET	Cr	0	0	6	190	Octahedral	0.28	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H16-C11-N2']	H16-C16-N2-O5-Cr	5	24	['QESZET']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
NEXNEJ	Cr	0	0	6	202	Octahedral	0.07	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H16-C14-O']	H16-C19-O6-Cr	5	24	['NEXNEJ', 'UDUCAZ']	2	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
CHVICR	Cr	0	0	6	186	Octahedral	0.41	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H17-C10-N-O']	H17-C15-N-O6-Cr	5	24	['CHVICR']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
JOKLIE	Cr	0	0	6	202	Octahedral	0.25	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H17-C10-N-O3']	H17-C15-N-O8-Cr	5	24	['JOKLIE']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
PURBUC	Cr	0	0	6	208	Octahedral	0.18	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H18-C12-O3']	H18-C17-O8-Cr	5	24	['PURBUC']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
HODGAI	Cr	0	0	6	234	Octahedral	0.36	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H21-C12-N-O5']	H21-C17-N-O10-Cr	5	24	['HODGAI']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
REHSEC	Cr	0	0	6	232	Octahedral	0.28	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H21-C13-N-O4']	H21-C18-N-O9-Cr	5	24	['REHSEC']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
JUSXEA	Cr	0	0	6	226	Octahedral	0.27	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H21-C16-N-O']	H21-C21-N-O6-Cr	5	24	['JUSXEA']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
ZUMMIG	Cr	0	0	6	248	Octahedral	0.07	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H22-C14-O6']	H22-C19-O11-Cr	5	24	['ZUMMIG', 'PUTMOJ']	2	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
OGOGEW	Cr	0	0	6	264	Octahedral	0.48	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H22-C22-O2']	H22-C27-O7-Cr	5	24	['OGOGEW']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
YIYCIT	Cr	0	0	6	278	Octahedral	0.39	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H23-C23-N-O2']	H23-C28-N-O7-Cr	5	24	['YIYCIT', 'YIYCEP']	2	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
YATDUT	Cr	0	0	6	254	Octahedral	0.61	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H26-C21-O']	H26-C26-O6-Cr	5	24	['YATDUT']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
PUHTEU	Cr	0	0	6	294	Octahedral	0.21	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H26-C21-O6']	H26-C26-O11-Cr	5	24	['PUHTEU']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
WODSIR	Cr	0	0	6	296	Octahedral	0.51	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H28-C21-O6']	H28-C26-O11-Cr	5	24	['WODSIR']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
FMSICR	Cr	0	0	6	280	Octahedral	0.09	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H30-C14-O2-Si4']	H30-C19-O7-Si4-Cr	5	24	['FMSICR']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
UCEYAF	Cr	0	0	6	266	Octahedral	0.54	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H31-C15-N4-O-P']	H31-C20-N4-O6-P-Cr	5	24	['UCEYAF']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
NASPAY	Cr	0	0	6	246	Octahedral	0.36	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H32-C14-N3-P']	H32-C19-N3-O5-P-Cr	5	24	['NASPAY']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
NASPIG	Cr	0	0	6	278	Octahedral	0.32	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H34-C19-N3-P']	H34-C24-N3-O5-P-Cr	5	24	['NASPIG']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
LENZUZ	Cr	0	0	6	290	Octahedral	0.05	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H38-B-C15-N-Si4']	H38-B-C20-N-O5-Si4-Cr	5	24	['LENZUZ']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
VOWRAA	Cr	0	-1	6	132	Octahedral	0.30	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H5-C4-O']	H5-C9-O6-Cr	5	24	['VOWRAA']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
YEJWAM	Cr	0	0	6	146	Octahedral	0.30	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H6-C3-N4']	H6-C8-N4-O5-Cr	5	24	['YEJWAM']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
PHCBCR	Cr	0	0	6	150	Octahedral	0.26	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H6-C7-O']	H6-C12-O6-Cr	5	24	['PHCBCR']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
HEPREZ	Cr	0	0	6	162	Octahedral	0.06	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H6-C9-O']	H6-C14-O6-Cr	5	24	['HEPREZ']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
KOQBAT	Cr	0	0	6	132	Octahedral	0.10	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H7-C4-N']	H7-C9-N-O5-Cr	5	24	['KOQBAT']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
HEPRID	Cr	0	0	6	146	Octahedral	0.06	('C', 'C', 'C', 'C', 'C', 'C')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H8-C6-O']	H8-C11-O6-Cr	5	24	['HEPRID', 'XALFEV']	2	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
BIBPEI	Cr	0	0	6	444	Octahedral	0.07	('C', 'C', 'C', 'C', 'C', 'C')	['H9-C9-N', 'H9-C9-N', 'H9-C9-N', 'H9-C9-N', 'H9-C9-N', 'H9-C9-N']	H54-C54-N6-Cr	5	24	['BIBPEI']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'C']
EAMNCR10	Cr	0	0	6	148	Octahedral	0.20	('C', 'C', 'C', 'C', 'C', 'N')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H10-C5-N2']	H10-C10-N2-O5-Cr	5	24	['EAMNCR10']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'N']
WOCDUN	Cr	0	0	6	190	Octahedral	0.37	('C', 'C', 'C', 'C', 'C', 'N')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H11-C13-N']	H11-C18-N-O5-Cr	5	24	['WOCDUN']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'N']
FICZOG	Cr	0	0	6	170	Octahedral	0.17	('C', 'C', 'C', 'C', 'C', 'N')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H12-C6-N4']	H12-C11-N4-O5-Cr	5	24	['FICZOG']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'N']
EHUSOP	Cr	0	0	6	192	Octahedral	0.49	('C', 'C', 'C', 'C', 'C', 'N')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H14-C9-N2-O2']	H14-C14-N2-O7-Cr	5	24	['EHUSOP']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'N']
FOPBIV	Cr	0	0	6	224	Octahedral	0.37	('C', 'C', 'C', 'C', 'C', 'N')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H18-C15-N2-O']	H18-C20-N2-O6-Cr	5	24	['FOPBIV']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'N']
VACXUS	Cr	0	0	6	250	Octahedral	0.42	('C', 'C', 'C', 'C', 'C', 'N')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H26-C18-N2-O']	H26-C23-N2-O6-Cr	5	24	['VACXUS']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'N']
BIVTOP	Cr	0	0	6	138	Octahedral	0.20	('C', 'C', 'C', 'C', 'C', 'N')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H5-C3-N3']	H5-C8-N3-O5-Cr	5	24	['BIVTOP']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'N']
MACZEW	Cr	0	0	6	152	Octahedral	0.51	('C', 'C', 'C', 'C', 'C', 'N')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H7-C5-N3']	H7-C10-N3-O5-Cr	5	24	['MACZEW']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'N']
LUNCAZ	Cr	0	0	6	164	Octahedral	0.32	('C', 'C', 'C', 'C', 'C', 'N')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H7-C7-N3']	H7-C12-N3-O5-Cr	5	24	['LUNCAZ']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'N']
QIJVIO	Cr	0	0	6	176	Octahedral	0.83	('C', 'C', 'C', 'C', 'C', 'N')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H9-C11-N']	H9-C16-N-O5-Cr	5	24	['QIJVIO']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'N']
JUHTUB	Cr	0	0	6	184	Octahedral	0.91	('C', 'C', 'C', 'C', 'C', 'N')	['C-O', 'C-O', 'C-O', 'C-O', 'H12-C13-N2']	H12-C17-N2-O4-Cr	5	24	['JUHTUB']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'N']
UNANAY	Cr	0	0	6	236	Octahedral	2.68	('C', 'C', 'C', 'C', 'C', 'N')	['C-O', 'C-O', 'C-O', 'C-O', 'H26-C18-N2-O']	H26-C22-N2-O5-Cr	5	24	['UNANAY']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'N']
PCTHFC	Cr	0	0	6	134	Octahedral	0.32	('C', 'C', 'C', 'C', 'C', 'O')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H8-C4-O']	H8-C9-O6-Cr	5	24	['PCTHFC']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'O']
GILCUZ	Cr	0	0	6	230	Octahedral	0.78	('C', 'C', 'C', 'C', 'C', 'P')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H13-C18-P']	H13-C23-O5-P-Cr	5	24	['GILCUZ']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'P']
RIMDIA	Cr	0	0	6	224	Octahedral	0.49	('C', 'C', 'C', 'C', 'C', 'P')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H13-C9-O6-P']	H13-C14-O11-P-Cr	5	24	['RIMDIA']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'P']
JAGGED	Cr	0	0	6	218	Octahedral	0.58	('C', 'C', 'C', 'C', 'C', 'P')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H16-C13-N-O-P']	H16-C18-N-O6-P-Cr	5	24	['JAGGED']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'P']
LONMOQ	Cr	0	0	6	300	Octahedral	1.03	('C', 'C', 'C', 'C', 'C', 'P')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H20-C26-P2']	H20-C31-O5-P2-Cr	5	24	['LONMOQ']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'P']
HIGTUM	Cr	0	0	6	280	Octahedral	1.28	('C', 'C', 'C', 'C', 'C', 'P')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H21-C21-O3-P']	H21-C26-O8-P-Cr	5	24	['HIGTUM']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'P']
MESTCR	Cr	0	0	6	262	Octahedral	0.85	('C', 'C', 'C', 'C', 'C', 'P')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H21-C22-P']	H21-C27-O5-P-Cr	5	24	['MESTCR']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'P']
VAJPEB	Cr	0	0	6	252	Octahedral	0.65	('C', 'C', 'C', 'C', 'C', 'P')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H24-C14-N-Si2-P']	H24-C19-N-O5-Si2-P-Cr	5	24	['VAJPEB']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'P']
CEPJIR	Cr	0	0	6	232	Octahedral	1.61	('C', 'C', 'C', 'C', 'C', 'P')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H27-C9-Si3-P']	H27-C14-O5-Si3-P-Cr	5	24	['CEPJIR']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'P']
REGGEP	Cr	0	0	6	276	Octahedral	0.77	('C', 'C', 'C', 'C', 'C', 'P')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H29-C17-O-Si2-P']	H29-C22-O6-Si2-P-Cr	5	24	['REGGEP']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'P']
XUXJAB	Cr	0	0	6	396	Octahedral	1.17	('C', 'C', 'C', 'C', 'C', 'P')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H29-C38-P3']	H29-C43-O5-P3-Cr	5	24	['XUXJAB']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'P']
MISKUU	Cr	0	0	6	288	Octahedral	1.62	('C', 'C', 'C', 'C', 'C', 'P')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H34-C15-N2-Al-Si2-P']	H34-C20-N2-O5-Al-Si2-P-Cr	5	24	['MISKUU']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'P']
JONMEE	Cr	0	0	6	214	Octahedral	0.48	('C', 'C', 'C', 'C', 'C', 'P')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'P-Br3']	C5-O5-P-Cr-Br3	5	24	['JONMEE']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'P']
RIBWAA	Cr	0	0	6	240	Octahedral	1.15	('C', 'C', 'C', 'C', 'C', 'P')	['C-O', 'C-O', 'C-O', 'C-O', 'C-S', 'H15-C18-P']	H15-C23-O4-P-S-Cr	5	24	['RIBWAA']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'P']
JELGEN	Cr	0	0	6	328	Octahedral	1.33	('C', 'C', 'C', 'C', 'C', 'P')	['C-O', 'C-O', 'C-O', 'C-O', 'H13-C15-N', 'H15-C18-P']	H28-C37-N-O4-P-Cr	5	24	['JELGEN']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'P']
RUJQAQ	Cr	0	0	6	334	Octahedral	1.02	('C', 'C', 'C', 'C', 'C', 'P')	['C-O', 'C-O', 'C-O', 'C-O', 'H15-C18-P', 'H16-C13-O-Si']	H31-C35-O5-Si-P-Cr	5	24	['RUJQAQ']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'P']
FIHNEP	Cr	0	0	6	230	Octahedral	0.80	('C', 'C', 'C', 'C', 'C', 'P')	['C-O', 'C-O', 'C-O', 'C-O', 'H18-C17-N-O-P']	H18-C21-N-O5-P-Cr	5	24	['FIHNEP']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'P']
WOFZOG	Cr	0	0	6	338	Octahedral	0.95	('C', 'C', 'C', 'C', 'C', 'P')	['C-O', 'C-O', 'C-O', 'C-O', 'H29-C20-O3-Si-P', 'H7-C7-N']	H36-C31-N-O7-Si-P-Cr	5	24	['WOFZOG']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'P']
TABNEP	Cr	0	0	6	144	Octahedral	1.18	('C', 'C', 'C', 'C', 'C', 'S')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H10-C4-S']	H10-C9-O5-S-Cr	5	24	['TABNEP']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'S']
CTMTCR	Cr	0	0	6	172	Octahedral	1.11	('C', 'C', 'C', 'C', 'C', 'S')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H12-C7-O-S']	H12-C12-O6-S-Cr	5	24	['CTMTCR']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'S']
DAGPUW	Cr	0	0	6	196	Octahedral	0.83	('C', 'C', 'C', 'C', 'C', 'S')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H12-C7-S3']	H12-C12-O5-S3-Cr	5	24	['DAGPUW']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'S']
QEDRAS	Cr	0	0	6	210	Octahedral	1.11	('C', 'C', 'C', 'C', 'C', 'S')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H20-C11-N2-S']	H20-C16-N2-O5-S-Cr	5	24	['QEDRAS']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'S']
KEBMOT	Cr	0	0	6	264	Octahedral	1.60	('C', 'C', 'C', 'C', 'C', 'S')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H27-C20-N-S']	H27-C25-N-O5-S-Cr	5	24	['KEBMOT']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'S']
CMPHSC	Cr	0	0	6	152	Octahedral	1.29	('C', 'C', 'C', 'C', 'C', 'S')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H9-C3-P-S']	H9-C8-O5-P-S-Cr	5	24	['CMPHSC']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'S']
SEKHEX	Cr	0	0	6	198	Octahedral	1.34	('C', 'C', 'C', 'C', 'C', 'Sb')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H6-C2-Br-Sb']	H6-C7-O5-Cr-Br-Sb	5	24	['SEKHEX']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'Sb']
PEMSOP	Cr	0	0	6	222	Octahedral	0.91	('C', 'C', 'C', 'C', 'C', 'Si')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H17-C15-N-Si']	H17-C20-N-O5-Si-Cr	5	24	['PEMSOP']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'Si']
VOYJIC	Cr	0	0	6	240	Octahedral	0.51	('C', 'C', 'C', 'C', 'C', 'Si')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H18-C6-N3-O-Si-P-Cl2']	H18-C11-N3-O6-Si-P-Cl2-Cr	5	24	['VOYJIC']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'Si']
VOYJEY	Cr	0	0	6	224	Octahedral	0.79	('C', 'C', 'C', 'C', 'C', 'Si')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H24-C8-N3-O-Si-P']	H24-C13-N3-O6-Si-P-Cr	5	24	['VOYJEY']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'Si']
GEVFIW	Cr	0	0	6	288	Octahedral	0.87	('C', 'C', 'C', 'C', 'C', 'Si')	['C-O', 'C-O', 'C-O', 'C-O', 'C-O', 'H36-C14-N3-O3-Si-P']	H36-C19-N3-O8-Si-P-Cr	5	24	['GEVFIW']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'C', 'Si']
SOBXAI	Cr	0	0	6	222	Octahedral	1.49	('C', 'C', 'C', 'C', 'N', 'N')	['C-O', 'C-O', 'C-O', 'C-O', 'H16-C14-N6']	H16-C18-N6-O4-Cr	5	24	['SOBXAI']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'N', 'N']
HINTUU	Cr	0	0	6	230	Octahedral	0.85	('C', 'C', 'C', 'C', 'N', 'N')	['C-O', 'C-O', 'C-O', 'C-O', 'H20-C14-N2-O4']	H20-C18-N2-O8-Cr	5	24	['HINTUU']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'N', 'N']
RIQQAJ	Cr	0	-1	6	128	Octahedral	1.14	('C', 'C', 'C', 'C', 'N', 'O')	['C-O', 'C-O', 'C-O', 'C-O', 'H6-C3-N-O2']	H6-C7-N-O6-Cr	5	24	['RIQQAJ']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'N', 'O']
RIQQEN	Cr	0	-1	6	136	Octahedral	1.67	('C', 'C', 'C', 'C', 'N', 'O')	['C-O', 'C-O', 'C-O', 'C-O', 'H8-C4-N-O2']	H8-C8-N-O6-Cr	5	24	['RIQQEN']	1	Cr_0_6_Octahedral_['C', 'C', 'C', 'C', 'N', 'O']
