refcode	metal	m_ox	totcharge	CN	N	geometry	min	coord_sphere	formula_ligs_list	TMC_formula	d_elec	elem_nr	groups	len_groups	name
SIDQUS	Co	2	2	6	149	Octahedral	0.82	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H6-C4-N2-O', 'H6-C4-N2-O']	H16-C8-N4-O4-Co	7	27	['SIDQUS']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
HAJKIM	Co	2	2	6	177	Octahedral	0.16	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H6-C4-N4-O', 'H6-C4-N4-O']	H16-C8-N8-O4-Co	7	27	['HAJKIM']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
ENIBUA	Co	2	2	6	257	Octahedral	0.08	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H6-C5-N2-O2', 'H6-C5-N2-O2', 'H7-C3-N-O', 'H7-C3-N-O']	H30-C16-N6-O8-Co	7	27	['ENIBUA']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
AROCEP	Co	2	0	6	225	Octahedral	0.47	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H6-C6-N-O3-S', 'H6-C6-N-O3-S']	H16-C12-N2-O8-S2-Co	7	27	['AROCEP', 'AROBOY']	2	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
BEXNIB10	Co	2	2	6	173	Octahedral	0.67	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H6-C6-N2-O', 'H6-C6-N2-O']	H16-C12-N4-O4-Co	7	27	['BEXNIB10', 'GIWZUJ']	2	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
XUJDIQ	Co	2	0	6	189	Octahedral	1.97	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H6-C7-N-O2', 'H6-C7-N-O2']	H16-C14-N2-O6-Co	7	27	['XUJDIQ', 'AJIWEV']	2	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
TUKHIS	Co	2	0	6	205	Octahedral	0.96	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H6-C7-N-O3', 'H6-C7-N-O3']	H16-C14-N2-O8-Co	7	27	['TUKHIS']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
PUHRUH	Co	2	0	6	261	Octahedral	0.24	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H6-C8-N2-O', 'H6-C8-N2-O', 'N-O3', 'N-O3']	H16-C16-N6-O10-Co	7	27	['PUHRUH']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
KERDAM	Co	2	2	6	197	Octahedral	0.67	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H6-C8-N2-O', 'H6-C8-N2-O']	H16-C16-N4-O4-Co	7	27	['KERDAM']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
YABMUL	Co	2	0	6	229	Octahedral	0.82	('N', 'N', 'O', 'O', 'O', 'O')	['H2-O', 'H2-O', 'H6-C8-N3-O2', 'H6-C8-N3-O2']	H16-C16-N6-O6-Co	7	27	['YABMUL']	1	Co_2_6_Octahedral_['N', 'N', 'O', 'O', 'O', 'O']
