refcode,Charge,low spin,low spin energy,low spin expectation,Theoretical LS expecation,high spin,high spin energy,high spin expectation,Theoretical HS expectation,splitting,rel_m,multiplicity
IGETOE,1.0,0.5,-2986.300792,0.8445,0.75,2.5,-2986.31359,8.7595,8.75,-8.031299562555,1.0439265951143600,6.0
IWOTOD,0.0,0.5,-2748.317848,0.8831,0.75,2.5,-2748.337363,8.7644,8.75,-12.2457223906,1.0316410626822000,6.0
IXEPUY,0.0,0.0,-3632.738068,0.0,0.0,2.0,-3632.784117,6.0273,6.0,-28.89639831873,1.1169181233255700,5.0
JACGEC,-1.0,0.5,-4135.368886,1.1046,0.75,2.5,-4135.406772,8.7606,8.75,-23.77377471624,1.0491430058807700,6.0
JACGIG,-1.0,0.5,-3715.171136,1.172,0.75,2.5,-3715.210516,8.7607,8.75,-24.711085656390000,1.063601324901110,6.0
JAVJAS,0.0,0.0,-2421.659673,0.0,0.0,2.0,-2421.692621,6.0204,6.0,-20.675295957710000,1.103467355745160,5.0
JUDZUF,2.0,0.0,-2042.11001,0.0,0.0,2.0,-2042.148231,6.0071,6.0,-23.983720569655000,1.1142287904667500,5.0
JUQZEC,0.0,0.5,-3268.520437,0.9795,0.75,2.5,-3268.545144,8.7627,8.75,-15.503977618020000,1.0333451731297700,6.0
KADVEU,2.0,0.0,-2252.867251,0.0,0.0,2.0,-2252.914419,6.007,6.0,-29.59810454201,1.120290100644430,5.0
KAPQEA,0.0,0.0,-3079.423021,0.0,0.0,2.0,-3079.453855,6.026,6.0,-19.34835181882,1.1033241603015600,5.0
KIWWUL,2.0,0.0,-2334.009264,0.0,0.0,2.0,-2334.043086,6.0114,6.0,-21.223243528205,1.1190298989200900,5.0
KOFKEY,0.0,0.5,-2511.636436,1.1456,0.75,2.5,-2511.671048,8.7613,8.75,-21.71917056115,1.0291282244123700,6.0
LANTUP,0.0,0.5,-3037.120584,0.886,0.75,2.5,-3037.139504,8.7595,8.75,-11.872247561485,1.0332429704764400,6.0
LUJNOU,2.0,0.5,-2925.159833,0.7786,0.75,2.5,-2925.108155,8.7601,8.75,32.42814728663,0.985357326506952,2.0
LUXKEU,0.0,0.5,-1944.018448,0.7644,0.75,2.5,-1943.910875,8.7593,8.75,67.502972766885,0.9494853943522460,2.0
MAHXOJ,0.0,0.0,-2510.101212,0.0,0.0,2.0,-2510.115722,6.0201,6.0,-9.104993417435,1.1162813125001900,5.0
MAKXAX,0.0,0.5,-2232.681995,1.1076,0.75,2.5,-2232.718483,8.7576,8.75,-22.896698412995,1.0292469761055400,6.0
MALFET04,0.0,0.0,-2479.451556,0.0,0.0,2.0,-2479.478657,6.0059,6.0,-17.006015732695,1.0863561195856700,5.0
MAWSIN,0.0,0.0,-3173.071424,0.0,0.0,2.0,-3173.120084,6.0182,6.0,-30.534750322090000,1.1155496689152900,5.0
MENXAF,2.0,0.0,-2409.038123,0.0,0.0,2.0,-2409.062101,6.0117,6.0,-15.046567118185,1.1214104125634200,5.0
MIKJAS,0.0,0.0,-2763.459708,0.0,0.0,2.0,-2763.501105,6.0276,6.0,-25.977104897925,1.1113979246305600,5.0
MOJCAS,0.0,0.5,-2825.48104,0.8838,0.75,2.5,-2825.494122,8.7638,8.75,-8.20871532349,1.0186768331214900,6.0
MUXCAL,0.0,0.0,-2597.001967,0.0,0.0,2.0,-2597.020153,6.0083,6.0,-11.412094845135,1.072809,5.0
NALSOK,0.0,0.5,-3255.128303,1.0946,0.75,2.5,-3255.166527,8.7604,8.75,-23.985577997775,1.0377162747707200,6.0
NALTEB,0.0,0.5,-3331.383746,0.9485,0.75,2.5,-3331.415152,8.7599,8.75,-19.708046539315,1.0425801424314100,6.0
NALTIF,0.0,0.5,-3273.380649,0.9292,0.75,2.5,-3273.409412,8.7599,8.75,-18.04871689337,1.0431529477972400,6.0
NEFSIA,0.0,0.0,-3008.750167,0.0,0.0,2.0,-3008.781266,6.0378,6.0,-19.514547709895,1.1134974333901300,5.0
NEJBOT,2.0,0.0,-2065.344204,0.0,0.0,2.0,-2065.381124,6.0092,6.0,-23.167964494750000,1.11762035656242,5.0
NIDLOC,0.0,0.5,-2402.104196,0.893,0.75,2.5,-2402.128819,8.7637,8.75,-15.451103667550000,1.057981467757370,6.0
NOQWOH,-1.0,0.5,-2414.58994,0.7616,0.75,2.5,-2414.46247,8.8135,8.75,79.98845398724500,0.9256680764293480,2.0
NUPKIV,2.0,0.0,-2289.448698,0.0,0.0,2.0,-2289.37123,6.0206,6.0,48.612251076225,0.9308475429947430,1.0
OBUYIT,2.0,0.0,-2443.736697,0.0,0.0,2.0,-2443.766528,6.0067,6.0,-18.719016266175,1.1079488834451600,5.0
OJIZUC,2.0,0.0,-2220.165718,0.0,0.0,2.0,-2220.19631,6.0073,6.0,-19.19705927837,1.1113664134372900,5.0
OTAGUN,0.0,0.0,-2951.432883,0.0,0.0,2.0,-2951.373972,6.0284,6.0,36.967369031875,0.9467109815120890,1.0
OVUPUR,0.0,0.5,-3257.520863,1.0413,0.75,2.5,-3257.559234,8.7592,8.75,-24.078317626780000,1.0470422616947400,6.0
PEGZIM,0.0,0.0,-2050.155676,0.0,0.0,2.0,-2050.194302,6.0084,6.0,-24.23806899529,1.1017647523103400,5.0
PEWPOW,1.0,0.5,-2946.98961,0.8625,0.75,2.5,-2947.009795,8.7596,8.75,-12.66601570351,1.0493963711780200,6.0
PIJRUW,0.0,0.5,-3025.639559,0.8144,0.75,2.5,-3025.663438,8.7594,8.75,-14.984255424835,1.0426262077393100,6.0
POWSIE,0.0,0.5,-2809.616706,0.8024,0.75,2.5,-2809.623736,8.7577,8.75,-4.41178084089,1.041107332376780,6.0
PUVMEA,0.0,0.5,-3186.895368,1.0182,0.75,2.5,-3186.927805,8.7609,8.75,-20.354142870705,1.0436637217026100,6.0
PUVMIE,-1.0,0.5,-3199.316796,0.9106,0.75,2.5,-3199.348086,8.7594,8.75,-19.63484755614,1.0344820434361100,6.0
PUWHUM,0.0,0.0,-7064.067767,0.0,0.0,2.0,-7064.101885,6.0085,6.0,-21.409162042865000,1.131912791176580,5.0
PVVBAY01,0.0,0.0,-2106.857748,0.0,0.0,2.0,-2106.894851,6.0289,6.0,-23.28237202679,1.08786351250354,5.0
QAHRAT,0.0,0.5,-3351.963079,1.0562,0.75,2.5,-3351.997603,8.7597,8.75,-21.663968550435,1.060550169178230,6.0
QEFDUC,0.0,0.5,-3440.59784,0.9911,0.75,2.5,-3440.631689,8.7584,8.75,-21.24036826246,1.074922993214810,6.0
QELZOX,0.0,0.0,-2550.812903,0.0,0.0,2.0,-2550.856088,6.0122,6.0,-27.098960106930000,1.125268852129500,5.0
QENCOC,0.0,0.0,-2136.701354,0.0,0.0,2.0,-2136.496461,6.0255,6.0,128.57231653369,0.8892497638129390,1.0
QETDOI,2.0,0.0,-3043.210038,0.0,0.0,2.0,-3043.24455,6.0112,6.0,-21.65633175982,1.1180531221521000,5.0
QIFBIR,2.0,0.0,-2334.832541,0.0,0.0,2.0,-2334.755362,6.0442,6.0,48.43037999784000,0.9558618857952740,1.0
QIXCUX,0.0,0.0,-3026.427261,0.0,0.0,2.0,-3026.477339,6.0204,6.0,-31.424251313435,1.120512210342960,5.0
QIZMAP,0.0,0.5,-3329.93507,0.85,0.75,2.5,-3329.9581,8.759,8.75,-14.451738312945000,1.0471406123495600,6.0
QIZMET,0.0,0.5,-3312.696076,0.8306,0.75,2.5,-3312.718055,8.7593,8.75,-13.7920313005,1.05017140756162,6.0
